make_model,year,count,mean_price
Hyundai Getz,2009,4.0,6861.0
Hyundai Grandeur,2008,5.0,8600.0
Hyundai Grandeur,2016,5.0,13840.0
Hyundai Santa Fe,2006,4.0,10989.25
Hyundai Santa Fe,2008,25.0,11854.64
Hyundai Santa Fe,2009,10.0,12390.0
Hyundai Santa Fe,2010,7.0,12814.285714285714
Hyundai Solaris,2011,15.0,8060.0
Hyundai Solaris,2013,10.0,7743.2
Hyundai Solaris,2014,5.0,7830.4
Hyundai Solaris,2015,10.0,10470.0
Hyundai Solaris,2016,4.0,9026.0
Hyundai Solaris,2017,17.0,10888.176470588236
Hyundai Solaris,2019,4.0,12000.0
Hyundai Sonata,2007,8.0,7100.0
Hyundai Sonata,2010,70.0,10033.07142857143
Hyundai Sonata,2011,36.0,10305.555555555555
Hyundai Sonata,2012,22.0,10164.818181818182
Hyundai Sonata,2013,28.0,10921.42857142857
Hyundai Sonata,2014,27.0,11018.518518518518
Hyundai Sonata,2015,169.0,12748.91124260355
Hyundai Sonata,2016,470.0,12894.38085106383
Hyundai Sonata,2017,244.0,14146.877049180328
Hyundai Sonata,2018,124.0,14254.806451612903
Hyundai Sonata,2019,6.0,13550.0
Hyundai Starex (H-1),2008,8.0,13673.375
Hyundai Starex (H-1),2009,8.0,11175.0
Hyundai Veloster,2012,7.0,11085.714285714286
Hyundai i40,2013,22.0,10431.818181818182
Hyundai i40,2015,4.0,13550.0
Hyundai ix35,2011,7.0,14000.0
Infiniti EX,2008,19.0,13573.684210526315
Infiniti FX,2007,6.0,12249.833333333334
Kia Ceed,2017,5.0,11140.0
Kia K3,2015,4.0,11800.0
Kia K5 I Рестайлинг Седан,2014,28.0,12135.714285714286
Kia K5 I Рестайлинг Седан,2015,19.0,13305.263157894737
Kia K5 I Седан,2010,15.0,10486.666666666666
Kia K5 I Седан,2011,13.0,11299.846153846154
Kia K5 I Седан,2012,27.0,11710.62962962963
Kia K5 I Седан,2013,25.0,12434.0
Kia K5 II Седан,2015,10.0,13699.9
Kia K5 II Седан,2016,280.0,13731.282142857142
Kia K5 II Седан,2017,98.0,14289.826530612245
Kia K5 II Седан,2018,10.0,13690.0
Kia K7,2010,4.0,14025.0
Kia Morning,2009,7.0,6914.285714285715
Kia Morning,2010,8.0,6668.75
Kia Morning,2012,10.0,7689.1
Kia Morning,2014,14.0,8300.0
Kia Morning,2016,145.0,9106.151724137932
Kia Morning,2017,65.0,9836.076923076924
Kia Morning,2018,32.0,9834.21875
Kia Optima,2016,11.0,14318.181818181818
Kia Optima,2017,16.0,14012.5
Kia Rio,2014,10.0,8450.0
Kia Rio,2016,6.0,9583.0
Kia Rio,2017,4.0,10150.0
Kia Rio,2018,5.0,12346.8
Kia Rio,2020,24.0,12612.5
Kia Sportage,2011,4.0,14100.0
Kia Sportage,2012,12.0,14775.0
Land-Rover Discovery,2008,5.0,13300.0
Land-Rover Range Rover,2006,5.0,12720.0
Land-Rover Range Rover,2007,10.0,12230.0
Land-Rover Range Rover Sport,2005,5.0,12860.0
Land-Rover Range Rover Sport,2006,5.0,11379.8
