make_model,year,price_usd,transmission,color,body_type,engine_cap,engine_type,wheel_pos,mileage,city,car_link,date,age
Daihatsu Sirion,2009,5000,механика,голубой,хэтчбек 5 дв.,1.3,бензин,руль слева,174 000 км,Бишкек,https://www.mashina.kg/details/daihatsu-sirion-645675c66521e982734781,05_07_2023,14
Toyota Camry,2012,16000,автомат,серый,седан,2.5,бензин,руль слева,300 000 км,Бишкек,https://www.mashina.kg/details/toyota-camry-64567581ef439082113312,05_07_2023,11
Toyota Prius,2016,17300,автомат,серебристый,хэтчбек 5 дв.,1.8,гибрид,руль слева,69 123 км,Бишкек,https://www.mashina.kg/details/toyota-prius-64567532caa21680593289,05_07_2023,7
Mazda 6,2004,5495,автомат,черный,универсал,2.0,бензин,руль слева,160 700 км,Бишкек,https://www.mashina.kg/details/mazda-6-6456735e3f1d2638452393,05_07_2023,19
Toyota Wish,2004,8900,вариатор,белый,компактвэн,1.8,бензин,руль справа,197 000 км,Бишкек,https://www.mashina.kg/details/toyota-wish-6456712802e3a901129823,05_07_2023,19
Toyota Harrier,2006,12900,автомат,черный,внедорожник 5 дв.,3.5,бензин,руль справа,135 000 км,Бишкек,https://www.mashina.kg/details/toyota-harrier-64565f7b4c448594357628,05_07_2023,17
Chevrolet Matiz,2008,4119,механика,черный,хэтчбек 5 дв.,1.0,бензин,руль слева,212 397 км,Бишкек,https://www.mashina.kg/details/chevrolet-matiz-64567014d9489044531123,05_07_2023,15
BAIC EC3,2018,10500,автомат,белый,хэтчбек 5 дв.,2.0,электро,руль слева,39 000 км,Бишкек,https://www.mashina.kg/details/baic-ec3-6455e46ac5838927602512,05_07_2023,5
Chevrolet Spark,2016,8100,вариатор,серый,хэтчбек 5 дв.,1.0,бензин,руль слева,149 000 км,Бишкек,https://www.mashina.kg/details/chevrolet-spark-64576cba0db8a087797148,05_07_2023,7
Honda CR-V,2007,13300,автомат,серебристый,внедорожник 5 дв.,2.0,бензин,руль слева,2 000 км,Бишкек,https://www.mashina.kg/details/honda-cr-v-64567c0f971f8943605974,05_07_2023,16
Toyota Camry,2013,13900,автомат,белый,седан,2.5,бензин,руль слева,160 000 км,Бишкек,https://www.mashina.kg/details/toyota-camry-645651facc8d9058238689,05_07_2023,10
Toyota Ist,2003,5000,автомат,черный,хэтчбек 5 дв.,1.5,бензин,руль слева,153 000 км,Бишкек,https://www.mashina.kg/details/toyota-ist-64576c87ec386966051293,05_07_2023,20
Toyota Ist,2003,6600,автомат,золотистый,хэтчбек 5 дв.,1.5,бензин,руль слева,185 568 км,Бишкек,https://www.mashina.kg/details/toyota-ist-64576c7032497210889358,05_07_2023,20
Kia K7,2014,14900,автомат,черный,седан,3.0,бензин,руль слева,126 000 км,Бишкек,https://www.mashina.kg/details/kia-k7-645741d88652d850274911,05_07_2023,9
Kia Sportage,2016,19000,автомат,белый,внедорожник 5 дв.,2.0,дизель,руль слева,115 000 км,Бишкек,https://www.mashina.kg/details/kia-sportage-64576b6e344af232002545,05_07_2023,7
Daewoo Nexia,2011,3434,механика,белый,седан,1.5,бензин,руль слева,120 656 км,Бишкек,https://www.mashina.kg/details/daewoo-nexia-64576b584cd82117319161,05_07_2023,12
Toyota Avensis,2003,6900,автомат,серебристый,универсал,1.8,бензин,руль слева,260 000 км,Бишкек,https://www.mashina.kg/details/toyota-avensis-6456474d229ed800697707,05_07_2023,20
Honda Odyssey,2003,9500,автомат,серый,минивэн,2.3,бензин,руль справа,201 000 км,Бишкек,https://www.mashina.kg/details/honda-odyssey-6456bdcc3641e428460969,05_07_2023,20
Honda Jazz,2008,9950,вариатор,голубой,хэтчбек 5 дв.,1.3,бензин,руль слева,119 000 км,Бишкек,https://www.mashina.kg/details/honda-jazz-6456528281c5f833791213,05_07_2023,15
Toyota Corolla,2007,8000,робот,серебристый,седан,1.6,бензин,руль слева,204 000 км,Бишкек,https://www.mashina.kg/details/toyota-corolla-645768c05369b183601064,05_07_2023,16
Lexus RX,2004,13500,автомат,синий,внедорожник 5 дв.,3.0,бензин,руль слева,330 000 км,Бишкек,https://www.mashina.kg/details/lexus-rx-645767e2a480b684210620,05_07_2023,19
Honda Stepwgn,2003,12000,автомат,белый,минивэн,2.0,бензин,руль справа,250 000 км,Бишкек,https://www.mashina.kg/details/honda-stepwgn-6455eefbedb96442123815,05_07_2023,20
Toyota Camry,2017,17200,автомат,черный,седан,2.5,бензин,руль слева,102 000 км,Бишкек,https://www.mashina.kg/details/toyota-camry-64560ab36d7ab729003996,05_07_2023,6
Honda Accord,2009,10500,автомат,белый,седан,3.5,бензин,руль слева,0 км,Бишкек,https://www.mashina.kg/details/honda-accord-6457675a545fd683998066,05_07_2023,14
Toyota Mark X,2007,6800,автомат,белый,седан,3.0,бензин,руль справа,192 000 км,Бишкек,https://www.mashina.kg/details/toyota-mark-x-6456634de4a0e119055870,05_07_2023,16
Toyota Caldina,2003,7300,автомат,серый,универсал,1.8,бензин,руль справа,300 000 км,Бишкек,https://www.mashina.kg/details/toyota-caldina-6457314597aa9106903582,05_07_2023,20
Toyota Ist,2003,6900,автомат,серебристый,хэтчбек 5 дв.,1.5,бензин,руль справа,185 594 км,Бишкек,https://www.mashina.kg/details/toyota-ist-6457655dd56e7865830270,05_07_2023,20
Mercedes-Benz S-класс,2011,18999,автомат,черный,седан,4.7,бензин,руль слева,169 000 км,Бишкек,https://www.mashina.kg/details/mercedes-benz-s-klass-6455e683348d1039643680,05_07_2023,12
Toyota Camry,2012,13800,автомат,серебристый,седан,2.5,бензин,руль слева,139 000 км,Бишкек,https://www.mashina.kg/details/toyota-camry-645757de33b4d730345235,05_07_2023,11
Subaru Legacy,2005,6900,автомат,серебристый,седан,2.0,бензин,руль справа,190 000 км,Бишкек,https://www.mashina.kg/details/subaru-legacy-645764191044f342398343,05_07_2023,18
Audi A8,2003,6000,автомат,черный,седан,4.2,бензин,руль слева,234 000 км,Бишкек,https://www.mashina.kg/details/audi-a8-645763c6e3de9954585409,05_07_2023,20
Porsche Cayenne,2005,10000,автомат,черный,внедорожник 5 дв.,4.5,бензин,руль слева,300 000 км,Бишкек,https://www.mashina.kg/details/porsche-cayenne-645762d7e74ba399916887,05_07_2023,18
Toyota Camry,2014,13400,вариатор,черный,седан,2.5,гибрид,руль слева,91 000 км,Бишкек,https://www.mashina.kg/details/toyota-camry-6457629fe354b970901195,05_07_2023,9
Toyota Camry,2003,10000,автомат,серый,седан,2.4,бензин,руль справа,123 000 км,Бишкек,https://www.mashina.kg/details/toyota-camry-64576292ceae9522716170,05_07_2023,20
