make_model,year,price_usd,transmission,color,body_type,engine_cap,engine_type,wheel_pos,mileage,city,car_link,date,age
BMW 5 серии,2004,8000,автомат,синий,седан,2.5,бензин,руль слева,271 000 км,Бишкек,https://www.mashina.kg/details/bmw-5-serii-643c29f657b4c213150728,04_17_2023,19
Audi A6,2003,8500,автомат,серебристый,седан,3.0,бензин,руль слева,30 000 км,Бишкек,https://www.mashina.kg/details/audi-a6-643c2810aa3b7832609791,04_17_2023,20
Lexus RX,2006,15000,автомат,серебристый,внедорожник 5 дв.,3.5,бензин,руль слева,200 000 км,Бишкек,https://www.mashina.kg/details/lexus-rx-643c28007a9d3869476885,04_17_2023,17
Mazda Demio,2003,4500,автомат,красный,хэтчбек 5 дв.,1.5,бензин,руль справа,380 000 км,Бишкек,https://www.mashina.kg/details/mazda-demio-643c0f5375893438441430,04_17_2023,20
Toyota Camry,2015,15500,автомат,серый,седан,2.5,бензин,руль слева,104 111 км,Бишкек,https://www.mashina.kg/details/toyota-camry-643c0e604e84c012050731,04_17_2023,8
Mazda 3,2009,8000,автомат,серый,седан,2.3,бензин,руль слева,183 768 км,Бишкек,https://www.mashina.kg/details/mazda-3-643c0d8e7811d220639830,04_17_2023,14
Toyota Wish,2003,8499,автомат,белый,компактвэн,1.8,бензин,руль справа,19 000 км,Бишкек,https://www.mashina.kg/details/toyota-wish-643c0d2180712949885666,04_17_2023,20
Toyota Camry,2017,16500,автомат,черный,седан,2.5,бензин,руль слева,74 000 км,Бишкек,https://www.mashina.kg/details/toyota-camry-643c0cbd6ec5a542614771,04_17_2023,6
Toyota Prius,2014,14999,автомат,вишня,хэтчбек 5 дв.,1.8,гибрид,руль слева,71 000 км,Бишкек,https://www.mashina.kg/details/toyota-prius-643c0c90e3248330354035,04_17_2023,9
Subaru Outback,2017,18500,вариатор,белый,универсал,2.5,бензин,руль слева,120 000 км,Бишкек,https://www.mashina.kg/details/subaru-outback-643c0c2b51b20918449290,04_17_2023,6
Volkswagen Tiguan,2010,11400,автомат,белый,внедорожник 5 дв.,2.0,бензин,руль слева,180 000 км,Бишкек,https://www.mashina.kg/details/volkswagen-tiguan-643c0a886cef5224398832,04_17_2023,13
Toyota 4Runner,2003,19200,автомат,черный,внедорожник 5 дв.,4.0,бензин,руль слева,185 000 км,Бишкек,https://www.mashina.kg/details/toyota-4runner-643c0a616e066603058677,04_17_2023,20
Hyundai Sonata,2019,18600,автомат,белый,седан,2.4,бензин,руль слева,68 000 км,Бишкек,https://www.mashina.kg/details/hyundai-sonata-643c0a29a4ed5418772043,04_17_2023,4
Toyota Camry,2003,9300,автомат,серый,седан,2.4,бензин,руль слева,240 000 км,Бишкек,https://www.mashina.kg/details/toyota-camry-643c088c8b6ec539086812,04_17_2023,20
Toyota Alphard,2007,13800,автомат,белый,минивэн,3.0,бензин,руль справа,135 000 км,Бишкек,https://www.mashina.kg/details/toyota-alphard-643c07cb1dc58790933069,04_17_2023,16
Mazda Demio,2003,5600,автомат,белый,хэтчбек 5 дв.,1.5,бензин,руль справа,243 000 км,Бишкек,https://www.mashina.kg/details/mazda-demio-643bf1437e25a352301284,04_17_2023,20
Daewoo Nexia,2011,4152,механика,серый,седан,1.5,бензин,руль слева,95 000 км,Бишкек,https://www.mashina.kg/details/daewoo-nexia-643bf6a34d74e167364036,04_17_2023,12
Honda Odyssey,2004,8874,автомат,белый,минивэн,2.4,бензин,руль справа,124 521 км,Бишкек,https://www.mashina.kg/details/honda-odyssey-643c06f931c85374881199,04_17_2023,19
Toyota Ipsum,2005,8750,автомат,белый,компактвэн,2.4,бензин,руль справа,245 000 км,Бишкек,https://www.mashina.kg/details/toyota-ipsum-643be9ccbaedf788825433,04_17_2023,18
Toyota RAV4,2016,19900,вариатор,серый,внедорожник 5 дв.,2.5,гибрид,руль слева,127 000 км,Бишкек,https://www.mashina.kg/details/toyota-rav4-643c046627bfe713803903,04_17_2023,7
Toyota Camry (Japan),2006,12300,автомат,белый,седан,2.4,бензин,руль справа,124 000 км,Бишкек,https://www.mashina.kg/details/toyota-camry-japan-643c043b3d070119628090,04_17_2023,17
Subaru Outback,2006,10000,автомат,золотистый,универсал,2.5,бензин,руль слева,300 000 км,Бишкек,https://www.mashina.kg/details/subaru-outback-643c034b80ed2869035297,04_17_2023,17
Honda CR-V,2003,10700,автомат,синий,внедорожник 5 дв.,2.0,бензин,руль справа,238 000 км,Бишкек,https://www.mashina.kg/details/honda-cr-v-643c02fa95ba3704650038,04_17_2023,20
Honda Inspire,2003,8800,автомат,черный,седан,3.0,бензин,руль справа,25 000 км,Бишкек,https://www.mashina.kg/details/honda-inspire-643bf56239f68064220498,04_17_2023,20
Honda Stream,2003,6700,автомат,серебристый,компактвэн,2.0,бензин,руль слева,230 000 км,Бишкек,https://www.mashina.kg/details/honda-stream-643cda4850262216740977,04_17_2023,20
Toyota Kluger,2003,12400,автомат,черный,внедорожник 5 дв.,3.0,бензин,руль справа,250 000 км,Бишкек,https://www.mashina.kg/details/toyota-kluger-643c28107162f834192073,04_17_2023,20
Toyota Camry,2012,17000,автомат,черный,седан,2.5,бензин,руль слева,175 000 км,Бишкек,https://www.mashina.kg/details/toyota-camry-643cd919c8a10002146919,04_17_2023,11
Honda Fit,2005,7200,вариатор,серебристый,хэтчбек 5 дв.,1.3,бензин,руль справа,170 000 км,Бишкек,https://www.mashina.kg/details/honda-fit-643cd908a653d642403648,04_17_2023,18
Hyundai Sonata,2018,14600,автомат,серебристый,седан,2.0,газ,руль слева,161 000 км,Бишкек,https://www.mashina.kg/details/hyundai-sonata-643cd8ed31767027647320,04_17_2023,5
Honda Fit,2010,8200,автомат,серебристый,хэтчбек 5 дв.,1.5,бензин,руль справа,158 000 км,Бишкек,https://www.mashina.kg/details/honda-fit-643cd86ca6cfa286180679,04_17_2023,13
Honda Fit,2010,8900,автомат,оранжевый,хэтчбек 5 дв.,1.5,бензин,руль слева,120 000 км,Бишкек,https://www.mashina.kg/details/honda-fit-643cd8624f6a9078570793,04_17_2023,13
Honda Odyssey,2008,11500,автомат,черный,минивэн,2.4,бензин,руль справа,220 000 км,Бишкек,https://www.mashina.kg/details/honda-odyssey-643bd9f74dc48003975542,04_17_2023,15
Toyota Estima,2006,11500,вариатор,серый,минивэн,2.4,бензин,руль справа,220 000 км,Бишкек,https://www.mashina.kg/details/toyota-estima-643bd9aaaf7e4710511576,04_17_2023,17
Hyundai Sonata,2016,14200,автомат,серый,седан,2.0,газ,руль слева,170 000 км,Бишкек,https://www.mashina.kg/details/hyundai-sonata-643cd6b75b814237687497,04_17_2023,7
Hyundai Sonata,2017,12500,автомат,серый,седан,2.0,газ,руль слева,233 000 км,Бишкек,https://www.mashina.kg/details/hyundai-sonata-643cd65cbdef3224716195,04_17_2023,6
BMW X5,2005,16500,автомат,серебристый,внедорожник 5 дв.,4.4,бензин,руль слева,199 000 км,Бишкек,https://www.mashina.kg/details/bmw-x5-643c4f116a5fd707757523,04_17_2023,18
Toyota Camry,2004,7700,автомат,золотистый,седан,2.4,бензин,руль слева,121 212 км,Бишкек,https://www.mashina.kg/details/toyota-camry-643cd64a4efd8788540424,04_17_2023,19
Honda Accord,2006,8700,автомат,серебристый,седан,2.0,бензин,руль слева,272 800 км,Бишкек,https://www.mashina.kg/details/honda-accord-643cd53c053e6070465437,04_17_2023,17
Toyota Alphard,2009,18000,автомат,белый,минивэн,3.5,бензин,руль справа,106 000 км,Бишкек,https://www.mashina.kg/details/toyota-alphard-643cd163c4190771929864,04_17_2023,14
Lexus CT,2011,14000,вариатор,белый,хэтчбек 5 дв.,1.8,гибрид,руль слева,130 000 км,Бишкек,https://www.mashina.kg/details/lexus-ct-643cd47887600294304926,04_17_2023,12
Volkswagen Passat,2010,8000,автомат,белый,универсал,1.4,бензин / газ,руль слева,200 000 км,Бишкек,https://www.mashina.kg/details/volkswagen-passat-643c260415a2e616797654,04_17_2023,13
Lexus ES,2007,11800,автомат,серебристый,седан,3.5,бензин,руль слева,335 000 км,Бишкек,https://www.mashina.kg/details/lexus-es-643cd44c0c309222660095,04_17_2023,16
Subaru Outback,2017,17500,вариатор,синий,универсал,2.5,бензин,руль слева,112 654 км,Бишкек,https://www.mashina.kg/details/subaru-outback-643cd42fde54a083966382,04_17_2023,6
Toyota Ist,2003,6400,автомат,черный,хэтчбек 5 дв.,1.3,бензин,руль справа,215 422 км,Бишкек,https://www.mashina.kg/details/toyota-ist-643e4a19b9375339642553,04_18_2023,20
Toyota Corolla,2004,5916,механика,синий,седан,1.6,бензин,руль слева,280 965 км,Бишкек,https://www.mashina.kg/details/toyota-corolla-643e85bc65120974122471,04_18_2023,19
Mitsubishi Pajero Sport,2004,9500,механика,серебристый,внедорожник 5 дв.,2.5,дизель,руль слева,226 000 км,Бишкек,https://www.mashina.kg/details/mitsubishi-pajero-sport-643d8e0c71658574695012,04_18_2023,19
Honda Fit,2008,8200,автомат,серый,хэтчбек 5 дв.,1.5,бензин,руль справа,199 000 км,Бишкек,https://www.mashina.kg/details/honda-fit-643d8b7b730c4679595751,04_18_2023,15
Mercedes-Benz E-класс,2004,11500,автомат,черный,седан,4.0,дизель,руль слева,365 333 км,Бишкек,https://www.mashina.kg/details/mercedes-benz-e-klass-643d8783c039a610899912,04_18_2023,19
Mercedes-Benz S-класс,2007,15000,автомат,черный,седан,3.5,бензин,руль слева,0 км,Бишкек,https://www.mashina.kg/details/mercedes-benz-s-klass-643d82c3c3b6a036256958,04_18_2023,16
Mercedes-Benz S-класс,2003,9800,автомат,серебристый,седан,3.7,бензин,руль слева,300 000 км,Бишкек,https://www.mashina.kg/details/mercedes-benz-s-klass-643d8067ea40a505516974,04_18_2023,20
Honda Civic,2012,11000,автомат,серебристый,седан,1.8,бензин,руль слева,160 000 км,Бишкек,https://www.mashina.kg/details/honda-civic-643d805a739b8274909691,04_18_2023,11
Toyota Camry,2003,9000,автомат,черный,седан,2.4,бензин,руль справа,223 000 км,Бишкек,https://www.mashina.kg/details/toyota-camry-643d7f4097f09199646701,04_18_2023,20
Toyota Prius,2010,10500,автомат,серебристый,хэтчбек 5 дв.,1.8,гибрид,руль справа,199 000 км,Бишкек,https://www.mashina.kg/details/toyota-prius-643c3a53b53be893217577,04_18_2023,13
Opel Corsa,2003,3015,автомат,серебристый,хэтчбек 5 дв.,1.4,бензин,руль слева,28 000 км,Бишкек,https://www.mashina.kg/details/opel-corsa-643d78efe50b4649365379,04_18_2023,20
Roewe i5,2019,12900,автомат,белый,универсал,2.0,электро,руль слева,77 588 км,Бишкек,https://www.mashina.kg/details/roewe-i5-643d744a45ac9791156112,04_18_2023,4
BMW 5 серии,2011,17500,автомат,белый,седан,3.0,бензин,руль слева,143 000 км,Бишкек,https://www.mashina.kg/details/bmw-5-serii-643d77406e9be644438573,04_18_2023,12
Toyota Prius,2015,13500,автомат,белый,хэтчбек 5 дв.,1.8,гибрид,руль слева,105 000 км,Бишкек,https://www.mashina.kg/details/toyota-prius-643d6d6eadc63441035791,04_18_2023,8
Mercedes-Benz C-Класс,2007,11500,автомат,серый,седан,1.8,бензин,руль слева,204 000 км,Бишкек,https://www.mashina.kg/details/mercedes-benz-c-klass-643d6d5fdcc8c960390483,04_18_2023,16
Honda Pilot,2008,15000,автомат,серый,внедорожник 5 дв.,3.5,бензин,руль слева,260 000 км,Бишкек,https://www.mashina.kg/details/honda-pilot-643d6beecfeec427877009,04_18_2023,15
Opel Zafira,2006,5689,автомат,бежевый,компактвэн,1.9,дизель,руль слева,200 000 км,Бишкек,https://www.mashina.kg/details/opel-zafira-643c4c06ecf33457569394,04_18_2023,17
Toyota Camry,2005,9800,автомат,черный,седан,3.0,бензин,руль слева,220 000 км,Бишкек,https://www.mashina.kg/details/toyota-camry-643c4b35ade78158809466,04_18_2023,18
Honda Stream,2004,7000,вариатор,серебристый,компактвэн,2.0,бензин,руль слева,172 000 км,Бишкек,https://www.mashina.kg/details/honda-stream-643d6a90b54b4976584852,04_18_2023,19
BMW X5,2003,11800,автомат,черный,внедорожник 5 дв.,3.0,дизель,руль слева,350 000 км,Бишкек,https://www.mashina.kg/details/bmw-x5-643d68b79bfeb080971468,04_18_2023,20
Volkswagen Golf Plus,2007,6500,автомат,белый,хэтчбек 5 дв.,1.6,бензин,руль слева,270 000 км,Бишкек,https://www.mashina.kg/details/volkswagen-golf-plus-643d68b3beea2685521650,04_18_2023,16
Toyota Noah,2004,8200,автомат,серебристый,минивэн,2.0,бензин,руль справа,206 000 км,Бишкек,https://www.mashina.kg/details/toyota-noah-643cf20486aab590918689,04_18_2023,19
Lexus RX,2004,13000,автомат,черный,внедорожник 5 дв.,3.0,бензин,руль слева,250 000 км,Бишкек,https://www.mashina.kg/details/lexus-rx-643cedfb520bb346626772,04_18_2023,19
Subaru Outback,2006,11650,автомат,серый,универсал,3.0,бензин,руль справа,240 125 км,Бишкек,https://www.mashina.kg/details/subaru-outback-643e67e58630d688842144,04_18_2023,17
Honda Fit,2003,6400,автомат,серебристый,хэтчбек 5 дв.,1.5,бензин,руль справа,235 211 км,Бишкек,https://www.mashina.kg/details/honda-fit-643d36bc4afe1952599338,04_18_2023,20
Hyundai Sonata,2014,10800,автомат,белый,седан,2.0,газ,руль слева,338 000 км,Бишкек,https://www.mashina.kg/details/hyundai-sonata-643d4bfa80c64747176317,04_18_2023,9
Honda Inspire,2003,7900,автомат,серебристый,седан,3.0,бензин,руль справа,223 522 км,Бишкек,https://www.mashina.kg/details/honda-inspire-643e27a4df31d907470026,04_18_2023,20
ВАЗ (Lada) Priora,2008,4200,механика,серебристый,седан,1.6,бензин,руль слева,265 576 км,Бишкек,https://www.mashina.kg/details/vaz-lada-priora-643e5af77c34b497069900,04_18_2023,15
Kia Optima,2016,13500,автомат,черный,седан,2.0,гибрид,руль слева,121 000 км,Бишкек,https://www.mashina.kg/details/kia-optima-643cffa8192cc209121327,04_18_2023,7
Hyundai Sonata,2016,12600,автомат,белый,седан,2.0,газ,руль слева,130 000 км,Бишкек,https://www.mashina.kg/details/hyundai-sonata-643e34393325d195021813,04_18_2023,7
Kia Rio,2015,7700,автомат,коричневый,седан,1.6,бензин,руль слева,210 000 км,Бишкек,https://www.mashina.kg/details/kia-rio-643e3ac9a4792152392861,04_18_2023,8
Honda Stepwgn,2003,10200,автомат,белый,минивэн,2.0,бензин,руль справа,168 226 км,Бишкек,https://www.mashina.kg/details/honda-stepwgn-643dafb80fcc2515550616,04_18_2023,20
Hyundai Elantra,2017,11700,автомат,красный,седан,2.0,бензин,руль слева,101 000 км,Бишкек,https://www.mashina.kg/details/hyundai-elantra-643c3f185a9f4049877781,04_18_2023,6
Ford Focus,2004,5000,автомат,серебристый,хэтчбек 5 дв.,1.6,бензин,руль слева,270 000 км,Бишкек,https://www.mashina.kg/details/ford-focus-643d51546e8aa427922700,04_18_2023,19
Nissan Teana,2004,6500,автомат,серебристый,седан,2.5,бензин,руль справа,0 км,Бишкек,https://www.mashina.kg/details/nissan-teana-643d4edf50d41553858193,04_18_2023,19
Honda Odyssey,2003,7000,вариатор,черный,минивэн,2.4,бензин,руль справа,258 000 км,Бишкек,https://www.mashina.kg/details/honda-odyssey-643d4e2e58259150037294,04_18_2023,20
Honda Jazz,2005,9500,механика,серый,хэтчбек 5 дв.,1.5,бензин,руль слева,200 000 км,Бишкек,https://www.mashina.kg/details/honda-jazz-643d4dda4cc1c019532016,04_18_2023,18
Lexus GS,2005,7400,автомат,синий,седан,3.0,бензин,руль слева,250 000 км,Бишкек,https://www.mashina.kg/details/lexus-gs-643d4aec3f59d276100826,04_18_2023,18
Honda Stepwgn,2003,11000,автомат,черный,минивэн,2.0,бензин,руль справа,278 000 км,Бишкек,https://www.mashina.kg/details/honda-stepwgn-643d4aa1bd5be218533816,04_18_2023,20
Hyundai i30,2016,10000,механика,белый,универсал,1.6,бензин,руль слева,172 958 км,Бишкек,https://www.mashina.kg/details/hyundai-i30-643d496716995295052346,04_18_2023,7
Toyota RAV4,2006,13000,автомат,голубой,внедорожник 5 дв.,2.0,бензин,руль слева,320 000 км,Бишкек,https://www.mashina.kg/details/toyota-rav4-643d48e6ea374407259392,04_18_2023,17
Hyundai Getz,2005,4500,механика,черный,хэтчбек 5 дв.,1.3,бензин,руль слева,318 000 км,Бишкек,https://www.mashina.kg/details/hyundai-getz-643d485d8420d760750655,04_18_2023,18
Honda Jazz,2006,6599,механика,красный,хэтчбек 5 дв.,1.3,бензин,руль слева,65 000 км,Бишкек,https://www.mashina.kg/details/honda-jazz-643d0cfd1bdfa543309390,04_18_2023,17
Toyota Caldina,2004,5999,автомат,белый,универсал,2.0,бензин,руль справа,24 300 км,Бишкек,https://www.mashina.kg/details/toyota-caldina-643d446a16250105332095,04_18_2023,19
Honda Fit,2005,7700,вариатор,бирюзовый,хэтчбек 5 дв.,1.3,бензин,руль справа,235 000 км,Бишкек,https://www.mashina.kg/details/honda-fit-643d3e93ba75b243498869,04_18_2023,18
Toyota Camry,2003,9000,автомат,белый,седан,2.4,бензин,руль слева,273 588 км,Бишкек,https://www.mashina.kg/details/toyota-camry-643d40fb6c339615634207,04_18_2023,20
Honda Accord,2008,8700,автомат,серый,седан,2.4,бензин,руль слева,19 000 км,Бишкек,https://www.mashina.kg/details/honda-accord-643d40534f9e9919333149,04_18_2023,15
Kia K7,2018,18500,автомат,черный,седан,3.0,газ,руль слева,132 000 км,Бишкек,https://www.mashina.kg/details/kia-k7-643d3f9e5f632587423761,04_18_2023,5
Toyota Camry,2018,19700,автомат,серебристый,седан,2.5,бензин,руль слева,109 500 км,Бишкек,https://www.mashina.kg/details/toyota-camry-643cfafc82939752355177,04_18_2023,5
Toyota Ipsum,2003,7396,автомат,белый,компактвэн,2.4,бензин,руль справа,395 628 км,Бишкек,https://www.mashina.kg/details/toyota-ipsum-643d3da42d998602516774,04_18_2023,20
Honda Fit Aria,2004,5800,вариатор,серебристый,седан,1.3,бензин,руль справа,245 000 км,Бишкек,https://www.mashina.kg/details/honda-fit-aria-643d3d08e987b681222876,04_18_2023,19
Toyota Highlander,2004,12500,автомат,серебристый,внедорожник 5 дв.,3.3,бензин,руль слева,238 000 км,Бишкек,https://www.mashina.kg/details/toyota-highlander-643d3b13a2947050420804,04_18_2023,19
Hyundai Accent,2020,19000,автомат,хамелеон,седан,1.6,бензин,руль слева,34 000 км,Бишкек,https://www.mashina.kg/details/hyundai-accent-643d677908f2e308764416,04_18_2023,3
Toyota Camry,2015,18500,автомат,черный,седан,2.5,бензин,руль слева,80 000 км,Бишкек,https://www.mashina.kg/details/toyota-camry-643d675f3e5bf691111589,04_18_2023,8
Hyundai Sonata,2017,15900,автомат,серебристый,седан,2.0,газ,руль слева,168 000 км,Бишкек,https://www.mashina.kg/details/hyundai-sonata-643ccbdf129c4705979217,04_18_2023,6
Nissan Pathfinder,2005,8200,механика,серебристый,внедорожник 5 дв.,2.5,дизель,руль слева,312 000 км,Бишкек,https://www.mashina.kg/details/nissan-pathfinder-643d65b1315bd353221805,04_18_2023,18
Kia Rio,2016,8500,автомат,белый,седан,1.4,бензин,руль слева,217 000 км,Бишкек,https://www.mashina.kg/details/kia-rio-643d63eb011c6753160535,04_18_2023,7
Mercedes-Benz S-класс,2003,11000,автомат,белый,седан,5.0,бензин,руль слева,170 000 км,Бишкек,https://www.mashina.kg/details/mercedes-benz-s-klass-643d61ed6985a170132629,04_18_2023,20
Toyota Corolla,2004,6100,автомат,серебристый,седан,1.8,бензин,руль слева,240 000 км,Бишкек,https://www.mashina.kg/details/toyota-corolla-643d60cf41307424769000,04_18_2023,19
Toyota Camry,2009,13300,автомат,серебристый,седан,2.5,бензин,руль слева,0 км,Бишкек,https://www.mashina.kg/details/toyota-camry-643d5f6ce2776172164303,04_18_2023,14
Mercedes-Benz S-класс,2006,18000,автомат,черный,седан,5.5,бензин,руль слева,149 000 км,Бишкек,https://www.mashina.kg/details/mercedes-benz-s-klass-643d0161a59d2488218647,04_18_2023,17
Hyundai Genesis,2010,14500,автомат,серебристый,седан,3.8,бензин,руль слева,105 000 км,Бишкек,https://www.mashina.kg/details/hyundai-genesis-643d5cf5970cd942493938,04_18_2023,13
Mercedes-Benz Vito,2008,15500,автомат,серебристый,минивэн,3.0,дизель,руль слева,378 235 км,Бишкек,https://www.mashina.kg/details/mercedes-benz-vito-643d5c7d68865057045273,04_18_2023,15
BMW 5 серии,2008,14800,автомат,синий,седан,3.0,бензин,руль слева,167 000 км,Бишкек,https://www.mashina.kg/details/bmw-5-serii-643d5c4bc14cc439952610,04_18_2023,15
Honda Stepwgn,2005,10800,автомат,белый,минивэн,2.0,бензин,руль справа,126 000 км,Бишкек,https://www.mashina.kg/details/honda-stepwgn-643d5c3ee7f3c343597705,04_18_2023,18
Toyota Estima,2003,6827,автомат,серебристый,минивэн,2.4,бензин,руль справа,300 000 км,Бишкек,https://www.mashina.kg/details/toyota-estima-643d5929d704e221667958,04_18_2023,20
Honda Civic,2006,8600,автомат,бордовый,седан,1.8,бензин,руль слева,200 000 км,Бишкек,https://www.mashina.kg/details/honda-civic-643d554bc34ba943519699,04_18_2023,17
Mercedes-Benz E-класс,2003,6000,автомат,черный,седан,3.2,бензин,руль слева,250 000 км,Бишкек,https://www.mashina.kg/details/mercedes-benz-e-klass-643d55409c082167421517,04_18_2023,20
Toyota Crown,2010,14000,автомат,серебристый,седан,3.5,бензин,руль справа,95 000 км,Бишкек,https://www.mashina.kg/details/toyota-crown-643d51640bdd3805191396,04_18_2023,13
Toyota Prius,2017,15500,вариатор,серый,хэтчбек 5 дв.,1.8,гибрид,руль слева,76 600 км,Бишкек,https://www.mashina.kg/details/toyota-prius-643d301e68d3f759062125,04_18_2023,6
Toyota Ist,2003,4500,автомат,черный,хэтчбек 5 дв.,1.3,бензин,руль справа,170 000 км,Бишкек,https://www.mashina.kg/details/toyota-ist-643e669055e65211169436,04_18_2023,20
Hyundai Avante,2013,11500,автомат,серебристый,седан,1.6,бензин,руль слева,145 000 км,Бишкек,https://www.mashina.kg/details/hyundai-avante-643e63cf7cf95899664430,04_18_2023,10
Kia K5 I Рестайлинг Седан,2015,10500,автомат,серебристый,седан,2.0,газ,руль слева,105 000 км,Бишкек,https://www.mashina.kg/details/kia-k5-643d3743f3445947214630,04_18_2023,8
Toyota Camry,2015,18500,автомат,черный,седан,2.5,бензин,руль слева,240 000 км,Бишкек,https://www.mashina.kg/details/toyota-camry-643d688cc0172032024535,04_18_2023,8
Hyundai Solaris,2014,5500,механика,белый,седан,1.6,бензин,руль слева,260 000 км,Бишкек,https://www.mashina.kg/details/hyundai-solaris-643d2e7d46913331931805,04_18_2023,9
Mercedes-Benz S-класс,2006,11300,автомат,белый,седан,5.5,бензин,руль слева,270 000 км,Бишкек,https://www.mashina.kg/details/mercedes-benz-s-klass-643e5825a79eb131266700,04_18_2023,17
Toyota Camry,2010,13400,автомат,серебристый,седан,2.5,бензин,руль слева,170 000 км,Бишкек,https://www.mashina.kg/details/toyota-camry-643d0bc2da837004210977,04_18_2023,13
Kia K7,2016,18999,автомат,хамелеон,седан,2.2,дизель,руль слева,88 000 км,Бишкек,https://www.mashina.kg/details/kia-k7-643d6d4955b95576539416,04_18_2023,7
Subaru Outback,2004,7777,автомат,серебристый,универсал,3.0,бензин,руль справа,250 000 км,Бишкек,https://www.mashina.kg/details/subaru-outback-643d4f224de40063558956,04_18_2023,19
Honda CR-V,2003,9300,автомат,синий,внедорожник 5 дв.,2.4,бензин,руль слева,230 850 км,Бишкек,https://www.mashina.kg/details/honda-cr-v-643e608ad73d9324738946,04_18_2023,20
Toyota Mark X,2005,8600,автомат,серебристый,седан,2.5,бензин,руль справа,122 000 км,Бишкек,https://www.mashina.kg/details/toyota-mark-x-643e5cc634725508737436,04_18_2023,18
Toyota Camry,2017,14300,автомат,черный,седан,2.5,бензин,руль слева,63 000 км,Бишкек,https://www.mashina.kg/details/toyota-camry-643e6a6d7e3c5729424300,04_19_2023,6
Hyundai Tucson,2010,10000,автомат,серебристый,внедорожник 5 дв.,2.0,дизель,руль слева,221 000 км,Бишкек,https://www.mashina.kg/details/hyundai-tucson-643ee9516d3e5584695399,04_19_2023,13
Kia K5 II Седан,2018,15500,автомат,белый,седан,2.0,газ,руль слева,155 600 км,Бишкек,https://www.mashina.kg/details/kia-k5-643e2564b88f2274481594,04_19_2023,5
Honda Accord,2007,9700,автомат,серебристый,седан,2.4,бензин,руль слева,290 000 км,Бишкек,https://www.mashina.kg/details/honda-accord-643ec08903fc3138053854,04_19_2023,16
Nissan Maxima,2004,3641,механика,черный,седан,2.0,бензин,руль слева,999 999 км,Бишкек,https://www.mashina.kg/details/nissan-maxima-643e7b3b4dca7554901993,04_19_2023,19
Toyota Crown,2007,12300,автомат,белый,седан,3.5,бензин,руль справа,103 500 км,Бишкек,https://www.mashina.kg/details/toyota-crown-643e7ab37101e163151825,04_19_2023,16
Hyundai Sonata,2017,11500,автомат,серебристый,седан,2.0,газ,руль слева,99 000 км,Бишкек,https://www.mashina.kg/details/hyundai-sonata-643e79014b380520174179,04_19_2023,6
Mercedes-Benz E-класс,2010,12000,автомат,черный,универсал,2.1,дизель,руль слева,180 000 км,Бишкек,https://www.mashina.kg/details/mercedes-benz-e-klass-643e7894b171e026617638,04_19_2023,13
Hyundai Sonata,2016,14800,автомат,черный,седан,2.4,бензин,руль слева,33 000 км,Бишкек,https://www.mashina.kg/details/hyundai-sonata-643e7663ad99d830442711,04_19_2023,7
Daewoo Nexia,2011,3300,механика,серебристый,седан,1.5,бензин,руль слева,159 000 км,Бишкек,https://www.mashina.kg/details/daewoo-nexia-643e73c6af0d6125591834,04_19_2023,12
Toyota Estima,2009,12000,вариатор,белый,минивэн,2.4,бензин,руль справа,156 000 км,Бишкек,https://www.mashina.kg/details/toyota-estima-643e74ba705ee740763114,04_19_2023,14
Toyota Avensis,2004,6700,автомат,серебристый,седан,2.0,бензин,руль справа,215 300 км,Бишкек,https://www.mashina.kg/details/toyota-avensis-643e72a2d2496611890155,04_19_2023,19
Toyota Wish,2004,8700,автомат,белый,компактвэн,1.8,бензин,руль слева,298 000 км,Бишкек,https://www.mashina.kg/details/toyota-wish-643e7285f1eb0199451987,04_19_2023,19
Subaru Legacy,2004,7800,автомат,белый,седан,2.0,бензин,руль справа,285 011 км,Бишкек,https://www.mashina.kg/details/subaru-legacy-643e7047963c0663530506,04_19_2023,19
Honda CR-V,2012,16800,автомат,серебристый,внедорожник 5 дв.,2.4,бензин,руль слева,132 000 км,Бишкек,https://www.mashina.kg/details/honda-cr-v-643e6e8954872385176132,04_19_2023,11
Hyundai Sonata,2017,13500,автомат,серебристый,седан,2.0,газ,руль слева,187 000 км,Бишкек,https://www.mashina.kg/details/hyundai-sonata-643ea3fd9d034582186253,04_19_2023,6
Hyundai Getz,2003,3413,механика,серый,хэтчбек 5 дв.,1.1,бензин,руль слева,265 000 км,Бишкек,https://www.mashina.kg/details/hyundai-getz-643ea1872fcc4368874133,04_19_2023,20
Subaru Forester,2018,17200,вариатор,белый,внедорожник 5 дв.,2.5,бензин,руль слева,87 000 км,Бишкек,https://www.mashina.kg/details/subaru-forester-643ea12feb9d2857214193,04_19_2023,5
Mercedes-Benz E-класс,2003,9700,автомат,серебристый,седан,4.3,бензин,руль слева,230 000 км,Бишкек,https://www.mashina.kg/details/mercedes-benz-e-klass-643ea0d2ba8e4363401282,04_19_2023,20
Toyota Land Cruiser Prado,2003,18800,автомат,золотистый,внедорожник 5 дв.,3.4,бензин,руль справа,220 000 км,Бишкек,https://www.mashina.kg/details/toyota-land-cruiser-prado-643e42ae16d66396369803,04_19_2023,20
Toyota Ist,2003,7000,автомат,голубой,хэтчбек 5 дв.,1.3,бензин,руль справа,160 000 км,Бишкек,https://www.mashina.kg/details/toyota-ist-643e99590ce72391017611,04_19_2023,20
