make_model,year,price_usd,transmission,color,body_type,engine_cap,engine_type,wheel_pos,mileage,city,car_link,date
Toyota Prius,2004 г.,$ 7 200,автомат,серебристый,хэтчбек 5 дв.,1.5,гибрид,руль слева,299 999 км,Бишкек,https://www.mashina.kg/details/toyota-prius-64fee84049d5c709516903,09_11_2023
Honda Accord,2003 г.,$ 6 600,автомат,белый,универсал,2.4,бензин,руль справа,300 000 км,Бишкек,https://www.mashina.kg/details/honda-accord-64fd9d1464e9f505704589,09_11_2023
Kia K5 II Седан,2016 г.,$ 11 800,автомат,серебристый,седан,2,газ,руль слева,101 001 км,Бишкек,https://www.mashina.kg/details/kia-k5-64fe89ccc9587301691156,09_11_2023
Honda Fit,2004 г.,$ 8 500,автомат,красный,хэтчбек 5 дв.,1.5,бензин,руль слева,178 000 км,Бишкек,https://www.mashina.kg/details/honda-fit-64fee76400b02893560042,09_11_2023
Kia K5 II Седан,2017 г.,$ 14 700,автомат,серый,седан,2,бензин,руль слева,114 000 км,Бишкек,https://www.mashina.kg/details/kia-k5-64fee7498a7a9369616303,09_11_2023
Weltmeister EX5,2018 г.,$ 14 500,,белый,внедорожник 5 дв.,автомат,электро,руль слева,23 000 км,Бишкек,https://www.mashina.kg/details/weltmeister-ex5-64fe0601cb957168467378,09_11_2023
Toyota Camry,2014 г.,$ 17 500,автомат,черный,седан,2.5,бензин,руль слева,245 000 км,Бишкек,https://www.mashina.kg/details/toyota-camry-64fe0e2817064977467846,09_11_2023
Hyundai Elantra,2016 г.,$ 13 500,автомат,черный,седан,2,бензин,руль слева,140 000 км,Бишкек,https://www.mashina.kg/details/hyundai-elantra-64fee623a257f113965791,09_11_2023
Hyundai Grandeur,2004 г.,$ 5 500,автомат,белый,седан,3,бензин,руль слева,262 678 км,Бишкек,https://www.mashina.kg/details/hyundai-grandeur-64fee5af958f8362733433,09_11_2023
Toyota Corolla,2005 г.,$ 6 800,автомат,серебристый,хэтчбек 5 дв.,1.6,бензин,руль слева,210 500 км,Бишкек,https://www.mashina.kg/details/toyota-corolla-64fe9766b4a87241934020,09_11_2023
Lexus GS,2005 г.,$ 12 500,автомат,серый,седан,3,бензин,руль слева,141 000 км,Бишкек,https://www.mashina.kg/details/lexus-gs-64fe96256550e569987146,09_11_2023
Toyota Camry,2003 г.,$ 9 500,автомат,черный,седан,2.4,бензин,руль слева,,Бишкек,https://www.mashina.kg/details/toyota-camry-64fe9619807d4615824070,09_11_2023
Kia Sportage,2018 г.,$ 18 500,робот,белый,внедорожник 5 дв.,1.7,дизель,руль слева,170 000 км,Бишкек,https://www.mashina.kg/details/kia-sportage-64fe9610df746766859835,09_11_2023
Toyota Alphard,2003 г.,$ 11 700,автомат,белый,минивэн,3,бензин,руль справа,144 400 км,Бишкек,https://www.mashina.kg/details/toyota-alphard-64fdee783f11f073359586,09_11_2023
Toyota Camry,2005 г.,$ 10 500,автомат,серый,седан,3.3,бензин,руль слева,140 625 км,Бишкек,https://www.mashina.kg/details/toyota-camry-64fda9b565d90811744739,09_11_2023
Honda Inspire,2004 г.,$ 8 600,автомат,белый,седан,3,бензин,руль справа,220 000 км,Бишкек,https://www.mashina.kg/details/honda-inspire-64fe956465cc8684715762,09_11_2023
Honda Fit,2004 г.,$ 8 800,вариатор,серебристый,хэтчбек 5 дв.,1.5,бензин,руль справа,280 000 км,Бишкек,https://www.mashina.kg/details/honda-fit-64fe952b9dbe1587233899,09_11_2023
Toyota Harrier,2005 г.,$ 13 000,автомат,белый,внедорожник 5 дв.,3,бензин,руль справа,112 000 км,Бишкек,https://www.mashina.kg/details/toyota-harrier-64fe94a59ddf8352003652,09_11_2023
Toyota Estima,2003 г.,$ 8 000,вариатор,серый,минивэн,2.4,гибрид,руль справа,280 000 км,Бишкек,https://www.mashina.kg/details/toyota-estima-64fe942f84343321897878,09_11_2023
Subaru Forester,2017 г.,$ 15 400,вариатор,белый,внедорожник 5 дв.,2.5,бензин,руль слева,90 000 км,Бишкек,https://www.mashina.kg/details/subaru-forester-64fe93e2c5515500118396,09_11_2023
Subaru Outback,2004 г.,$ 8 800,автомат,белый,универсал,2.5,бензин,руль справа,199 000 км,Бишкек,https://www.mashina.kg/details/subaru-outback-64fe9392a902c214611760,09_11_2023
Toyota Ist,2005 г.,$ 6 650,автомат,серебристый,хэтчбек 5 дв.,1.3,бензин,руль справа,22 222 км,Бишкек,https://www.mashina.kg/details/toyota-ist-64fdf3408ec0a213831017,09_11_2023
Toyota Camry,2011 г.,$ 8 900,автомат,серебристый,седан,2.4,бензин,руль слева,164 000 км,Бишкек,https://www.mashina.kg/details/toyota-camry-64fe89478b175651326165,09_11_2023
Kia K7,2016 г.,$ 15 200,автомат,черный,седан,3,газ,руль слева,316 000 км,Бишкек,https://www.mashina.kg/details/kia-k7-64fde14e0d94c402607430,09_11_2023
Honda Elysion,2008 г.,$ 13 800,автомат,серебристый,минивэн,3,бензин,руль справа,159 000 км,Бишкек,https://www.mashina.kg/details/honda-elysion-64fde052a31f6637330376,09_11_2023
Kia Sportage,2017 г.,$ 17 500,робот,белый,внедорожник 5 дв.,1.7,дизель,руль слева,155 000 км,Бишкек,https://www.mashina.kg/details/kia-sportage-64fe92cedd25c679677563,09_11_2023
Volkswagen Jetta,2014 г.,$ 7 950,автомат,коричневый,седан,1.4,бензин,руль слева,259 000 км,Бишкек,https://www.mashina.kg/details/volkswagen-jetta-64fddf38e57eb477253798,09_11_2023
Lexus RX,2004 г.,$ 15 000,автомат,серебристый,внедорожник 5 дв.,3,бензин,руль слева,245 555 км,Бишкек,https://www.mashina.kg/details/lexus-rx-64fd62b0275ef571391955,09_11_2023
Toyota Camry,2018 г.,$ 19 950,автомат,серебристый,седан,2.5,бензин,руль слева,118 000 км,Бишкек,https://www.mashina.kg/details/toyota-camry-64fdc0db5a87a464000555,09_11_2023
Kia K5 II Седан,2017 г.,$ 12 600,автомат,белый,седан,2,газ,руль слева,219 000 км,Бишкек,https://www.mashina.kg/details/kia-k5-64fe88ddf0fd7812067473,09_11_2023
Kia K5 II Седан,2017 г.,$ 16 800,автомат,черный,седан,2,бензин,руль слева,217 000 км,Бишкек,https://www.mashina.kg/details/kia-k5-64fdd6cb09367879371655,09_11_2023
Subaru Outback,2017 г.,$ 19 000,вариатор,синий,универсал,2.5,бензин,руль слева,84 000 км,Бишкек,https://www.mashina.kg/details/subaru-outback-64fd8b7e341a1075870344,09_11_2023
Honda Fit,2007 г.,$ 8 500,автомат,красный,хэтчбек 5 дв.,1.3,бензин,руль справа,180 000 км,Бишкек,https://www.mashina.kg/details/honda-fit-64fe873b54bb8382653402,09_11_2023
Toyota Alphard,2005 г.,$ 13 700,автомат,белый,минивэн,3,бензин,руль справа,137 000 км,Бишкек,https://www.mashina.kg/details/toyota-alphard-64fdaac454b2d892820872,09_11_2023
Kia K5 II Седан,2019 г.,$ 14 500,автомат,белый,седан,2,газ,руль слева,250 000 км,Бишкек,https://www.mashina.kg/details/kia-k5-64fe86e0f3846242776670,09_11_2023
Kia Morning,2016 г.,$ 9 500,автомат,коричневый,хэтчбек 5 дв.,1,бензин,руль слева,74 000 км,Бишкек,https://www.mashina.kg/details/kia-morning-64fe84dbeccdf531692495,09_11_2023
Nissan Juke,2013 г.,$ 12 000,вариатор,красный,внедорожник 5 дв.,1.6,бензин,руль слева,145 400 км,Бишкек,https://www.mashina.kg/details/nissan-juke-64fd4b5b68192634126607,09_11_2023
Toyota Prius,2017 г.,$ 19 000,вариатор,серебристый,лифтбек,1.8,гибрид,руль слева,58 000 км,Бишкек,https://www.mashina.kg/details/toyota-prius-64fd67c14d921201267178,09_11_2023
Toyota Camry,2005 г.,$ 7 800,механика,черный,седан,2.4,бензин,руль слева,353 000 км,Бишкек,https://www.mashina.kg/details/toyota-camry-64fd9787db079373362495,09_11_2023
Toyota Camry,2005 г.,$ 10 200,автомат,черный,седан,2.4,бензин,руль слева,190 200 км,Бишкек,https://www.mashina.kg/details/toyota-camry-64fdbc5974f91013835083,09_11_2023
Toyota Avensis,2004 г.,$ 7 500,автомат,белый,лифтбек,2,бензин,руль справа,214 000 км,Бишкек,https://www.mashina.kg/details/toyota-avensis-64fe2b86758ae136614682,09_11_2023
Hyundai Grandeur,2017 г.,$ 15 500,автомат,серебристый,седан,3,газ,руль слева,160 000 км,Бишкек,https://www.mashina.kg/details/hyundai-grandeur-64fe81e8c09c5205503738,09_11_2023
BMW 5 серии,2008 г.,$ 10 500,автомат,серый,седан,3,бензин,руль слева,238 257 км,Бишкек,https://www.mashina.kg/details/bmw-5-serii-64fe816ee4ad6853291208,09_11_2023
Lexus RX,2003 г.,$ 9 800,автомат,черный,внедорожник 5 дв.,3,бензин,руль слева,250 000 км,Бишкек,https://www.mashina.kg/details/lexus-rx-64fe814f8fca1253720922,09_11_2023
Toyota Crown,2008 г.,$ 13 000,автомат,хамелеон,седан,3.5,бензин,руль справа,20 000 км,Бишкек,https://www.mashina.kg/details/toyota-crown-64fe8025c247c883180247,09_11_2023
Toyota Camry,2017 г.,$ 16 800,автомат,черный,седан,2.5,бензин,руль слева,146 000 км,Бишкек,https://www.mashina.kg/details/toyota-camry-64fe7f0989f12338408252,09_11_2023
Toyota Prius,2017 г.,$ 17 500,вариатор,белый,лифтбек,1.8,гибрид,руль слева,105 000 км,Бишкек,https://www.mashina.kg/details/toyota-prius-64fe7e99b9af0994559975,09_11_2023
Subaru Outback,2004 г.,$ 9 500,автомат,синий,универсал,3,бензин,руль справа,282 471 км,Бишкек,https://www.mashina.kg/details/subaru-outback-64fdf17fb67f5763795708,09_11_2023
Kia K7,2017 г.,$ 15 000,автомат,серебристый,седан,3,газ,руль слева,275 000 км,Бишкек,https://www.mashina.kg/details/kia-k7-64fe7d55cb03d138019980,09_11_2023
Hyundai Solaris,2015 г.,$ 5 660,механика,белый,седан,1.4,бензин,руль слева,446 000 км,Бишкек,https://www.mashina.kg/details/hyundai-solaris-64fec136e986f592987419,09_11_2023
Lexus RX,2004 г.,$ 14 500,автомат,черный,внедорожник 5 дв.,3,бензин,руль слева,250 000 км,Бишкек,https://www.mashina.kg/details/lexus-rx-64fec11dd8f0f927316450,09_11_2023
Hyundai Santa Fe,2016 г.,$ 19 200,автомат,серебристый,внедорожник 5 дв.,2,дизель,руль слева,170 000 км,Бишкек,https://www.mashina.kg/details/hyundai-santa-fe-64fdacf2b64dc742195836,09_11_2023
Nissan Almera Tino,2003 г.,$ 4 415,механика,синий,компактвэн,1.8,бензин,руль слева,300 000 км,Бишкек,https://www.mashina.kg/details/nissan-almera-tino-64fec0e0ccda7744773845,09_11_2023
JAC S7,2023 г.,$ 18 500,робот,синий,внедорожник 5 дв.,1.5,бензин,руль слева,50 км,Бишкек,https://www.mashina.kg/details/jac-s7-64febfd71613a229288289,09_11_2023
Mazda Demio,2003 г.,$ 4 700,автомат,серый,хэтчбек 5 дв.,1.3,бензин,руль справа,,Бишкек,https://www.mashina.kg/details/mazda-demio-64febfc054fea931575415,09_11_2023
Subaru Outback,2010 г.,$ 13 700,вариатор,синий,универсал,2.5,бензин,руль слева,166 000 км,Бишкек,https://www.mashina.kg/details/subaru-outback-64fdcd1af049f369364595,09_11_2023
Mercedes-Benz E-класс,2003 г.,$ 11 500,автомат,серебристый,седан,3.2,бензин,руль слева,185 000 км,Бишкек,https://www.mashina.kg/details/mercedes-benz-e-klass-64fdb4c1b641c634110608,09_11_2023
Kia K5 II Седан,2016 г.,$ 12 500,автомат,серебристый,седан,2,газ,руль слева,195 000 км,Бишкек,https://www.mashina.kg/details/kia-k5-64febf4220a01275614781,09_11_2023
